date,open,high,low,close,volume
1962-01-02,13.4344,13.4344,13.2835,13.2835,387200
1962-01-03,13.2835,13.3996,13.2835,13.3996,288000
1962-01-04,13.3996,13.3996,13.2603,13.2661,256000
1962-01-05,13.2487,13.2487,12.9816,13.0048,363200
1962-01-08,12.9932,12.9932,12.6565,12.7610,544000
1962-01-09,12.8190,13.0745,12.8190,12.9119,491200
1962-01-10,12.9351,12.9932,12.9351,12.9351,299200
1962-01-11,12.9700,13.0745,12.9700,13.0745,315200
1962-01-12,13.0977,13.1906,13.0977,13.0977,435200
1962-01-15,13.1442,13.1848,13.1442,13.1558,251200
1962-01-16,13.1442,13.1442,13.0164,13.0164,251200
1962-01-17,12.9584,12.9584,12.7726,12.8074,419200
1962-01-18,12.8423,12.9700,12.8423,12.8423,371200
1962-01-19,12.8423,12.8771,12.7029,12.8539,400000
1962-01-22,12.8539,12.9816,12.8190,12.8306,275200
1962-01-23,12.8248,12.8423,12.6797,12.7029,371200
1962-01-24,12.7029,12.7726,12.6391,12.7726,408000
1962-01-25,12.7726,12.8771,12.6100,12.6333,315200
1962-01-26,12.6333,12.6797,12.5636,12.5694,243200
1962-01-29,12.5694,12.6565,12.3546,12.3546,579200
1962-01-30,12.3546,12.4242,12.1978,12.1978,736000
1962-01-31,12.3197,12.5868,12.3197,12.5868,760000
1962-02-01,12.7145,12.9119,12.7145,12.8771,640000
1962-02-02,12.8771,12.9584,12.8190,12.9584,507200
1962-02-05,12.9584,12.9584,12.7261,12.7958,312000
1962-02-06,12.7958,12.8190,12.7494,12.8074,256000
1962-02-07,12.8190,12.8887,12.8190,12.8190,251200
1962-02-08,12.8190,12.8887,12.8190,12.8306,16000
1962-02-09,12.8306,12.9235,12.7726,12.9235,432000
1962-02-12,12.9235,13.0280,12.9119,12.9351,280000
1962-02-13,12.9351,12.9468,12.7261,12.7261,256000
1962-02-14,12.7261,12.7726,12.6797,12.7029,208000
1962-02-15,12.7029,12.7029,12.6449,12.6565,227200
1962-02-16,12.6565,12.7029,12.6449,12.6449,219200
1962-02-19,12.6449,12.7029,12.4939,12.5171,280000
1962-02-20,12.5229,12.5868,12.5229,12.5229,288000
1962-02-21,12.5229,12.6100,12.4301,12.4301,363200
1962-02-23,12.4475,12.4939,12.4475,12.4707,288000
1962-02-26,12.4707,12.4823,12.4010,12.4242,299200
1962-02-27,12.4242,12.5287,12.3546,12.4475,347200
1962-02-28,12.4475,12.4707,12.3778,12.4707,267200
1962-03-01,12.5171,12.6216,12.5171,12.6216,280000
1962-03-02,12.7261,12.7958,12.7261,12.7261,243200
1962-03-05,12.7261,12.7261,12.6333,12.6797,360000
1962-03-06,12.6797,12.7378,12.6565,12.6913,184000
1962-03-07,12.6913,12.7319,12.6565,12.7319,123200
1962-03-08,12.7319,12.7610,12.6565,12.7610,184000
1962-03-09,12.7726,12.8423,12.7726,12.8423,288000
1962-03-12,12.8423,12.8771,12.7958,12.8306,280000
1962-03-13,12.8306,12.8306,12.7726,12.8190,123200
1962-03-14,12.8190,12.8539,12.7726,12.7958,195200
1962-03-15,12.7958,12.8655,12.7726,12.7726,243200
1962-03-16,12.7726,12.8306,12.7726,12.8306,160000
1962-03-19,12.8539,12.9119,12.8539,12.8655,371200
1962-03-20,12.8423,12.8423,12.7842,12.7842,160000
